,phrase,frequency
960,去世,207
961,剧终,33
962,凛卫,2
963,宫慎,1
964,算上,22
965,伊莉雅,181
966,撤回,49
967,红a真,2
968,室友,33
969,用来,212
970,叫醒,10
971,兰比,1
972,红a陪,1
973,演戏,99
974,玩玩,56
975,媒介,19
976,岳父,644
977,杀父,7
978,仇人,17
979,师兄,23
980,双休,5
981,当然,625
982,恋爱,1341
983,战斗番,66
984,saber线,50
985,yyds,1431
986,saber学,3
987,红a可是,1
988,耗掉,1
989,b叔,243
990,命saber线,1
991,众知杯密,25
992,10年,34
993,攒满,3
994,喽哈哈哈哈,1
995,在意,236
996,看上,51
997,现充,1425
998,dna,13
999,某种,152
1000,可控,13
1001,基因,50
1002,变异,23
1003,透露,39
1004,了解,293
1005,充能,23
1006,狂娜,2
1007,正是,168
1008,所想,9
1009,要是,1206
1010,下钟,1
1011,语言,1943
1012,承太郎,291
1013,欧蕾,5
1014,哇Q,1
1015,Q森,1
1016,海贴,1
1017,塔尔塔罗斯,13
1018,这时候,473
1019,核弹,364
1020,那位,118
1021,橘子,83
1022,麻婆,614
1023,知识,712
1024,天才,385
1025,奇怪,2471
1026,携带,22
1027,大帝士郎,1
1028,相反,65
1029,猜错,31
1030,刀鞘,8
1031,哥谭市,9
1032,民风,26
1033,淳朴,25
1034,秧歌,70
1035,star,57
1036,惊人,462
1037,相似,437
1038,双刀,22
1039,流弓兵,1
1040,此时无声胜有声,34
1041,过来,1733
1042,回味,9
1043,哇凛,4
1044,好强,142
1045,阿姨洗铁路,1292
1046,明日,89
1047,香幻,1
1048,穿越,499
1049,画面,648
1050,食堂,79
1051,天台,67
1052,见识,89
1053,哒哒哒,64
1054,蹦蹦,29
1055,炸弹,132
1056,调慢,1
1057,小时,270
1058,路人,892
1059,视觉,31
1060,SABER,72
1061,红A刀,3
1062,嗝屁,34
1063,护庭,1
1064,铸定式,1
1065,家家,8
1066,训穷,1
1067,强行,340
1068,千子村,11
1069,结束,717
1070,告诉,672
1071,方面,196
1072,消耗,114
1073,必杀,34
1074,技天,1
1075,银龙,2
1076,加强,101
1077,无形,79
1078,最为,989
1079,致命,1323
1080,此处,252
1081,吓死,347
1082,差点,735
1083,断手,19
1084,迫害,409
1085,心照不宣,1
1086,点明,24
1087,罢了,386
1088,空气,739
1089,掉牙,13
1090,哎嘿,28
1091,发生,1181
1092,甚么,94
1093,多么,206
1094,互相,474
1095,sakura,15
1096,权益,2
1097,保护,858
1098,协会,103
1099,背锅王,1
1100,看来,494
1101,划令咒,1
1102,有点,2739
1103,一库作,1295
1104,每月,6
1105,姐姐,2036
1106,千叶,368
1107,特产,18
1108,不过,960
1109,小右,2
1110,防御,755
1111,saber士郎,8
1112,怎么办,487
1113,红塞巴斯,1
1114,言峰,63
1115,一发令咒,1
1116,吓到,213
1117,服服帖帖,2
1118,hhhc妻,1
1119,管严,4
1120,zroe,1
1121,那个,4823
1122,真实,1107
1123,压抑,82
1124,呼名,2
1125,称呼,66
1126,日语,1305
1127,上手,1335
1128,当初,183
1129,创造,316
1130,定律,494
1131,果然,1652
1132,祖传,218
1133,相信,730
1134,红A弓凛,1
1135,雪山,29
1136,刀法,8
1137,鼠鼠,4
1138,幻听,380
1139,眼睛,2088
1140,下面,185
1141,纯靠,5
1142,狂喜,1697
1143,三画令,1
1144,大帝,311
1145,增加,1396
1146,年少,112
1147,不知,220
1148,r姐,98
1149,好错,32
1150,当成,196
1151,实话,373
1152,揍醒,2
1153,怎样,219
1154,辰替,4
1155,妹妹,2065
1156,树哥,7
1157,同款,397
1158,凛穿,5
1159,而已,901
1160,技巧,360
1161,需要,2820
1162,呱太,67
1163,医生,211
1164,樱凛,3
1165,樱会,3
